Date,Link,OptionText
2024-03-17 18:02:53,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7175104726739394560,no 
2024-03-17 17:01:17,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7175110284863320064,K-Means Clustering
2024-03-13 20:58:44,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7173570074480427008, Power Automate
2024-03-08 12:18:49,https://www.linkedin.com/feed/update/urn:li:groupPost:143130-7171817778272747521,b) Eclipse
2024-03-03 14:20:06,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7169594465152708608,A) Data
2024-03-03 14:19:49,https://www.linkedin.com/feed/update/urn:li:groupPost:23006-7170045507921285120,Power BI
2024-03-03 13:02:13,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7169702011297382400,Line chart
2024-03-03 06:21:56,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7169702615109230592,WHERE
2024-03-02 17:27:32,https://www.linkedin.com/feed/update/urn:li:groupPost:6610234-7169558645259526145,Dataframes
2024-03-01 14:35:50,https://www.linkedin.com/feed/update/urn:li:groupPost:14288368-7169309418906402817,COUNT() 📏
2024-03-01 11:00:42,https://www.linkedin.com/feed/update/urn:li:groupPost:143130-7169284894089469952,A) main()
2024-03-01 05:24:58,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7167113000687017984, All of the above
2024-02-29 10:17:25,https://www.linkedin.com/feed/update/urn:li:groupPost:6986570-7168838630591991808," print(""Hello world"",""\"")"
2024-02-29 10:14:57,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7168872807966130176,Barbell chart
2024-02-29 10:13:26,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7168894443847073793,c) Data-driven decision making
2024-02-27 19:51:47,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7168235242686824448,table
2024-02-26 21:03:01,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7167954473187823616,Web Development
2024-02-26 21:01:47,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7167877453690990592,K- means clustering 
2024-02-26 21:01:15,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7167753028375068672,Line Charts
2024-02-26 20:58:22,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7167828635012263936,C) Machine learning
2024-02-26 19:46:27,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7167804599246995457,Power BI
2024-02-26 06:36:25,https://www.linkedin.com/feed/update/urn:li:groupPost:143130-7167677704312381443,Hello World
2024-02-26 05:51:40,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7167724467601850368,Data visualization.
2024-02-25 20:28:15,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7167383499312709632,Normalzation 
2024-02-24 19:23:01,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7166729858549465088,b) Data Analysis Expressions
2024-02-24 19:22:22,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7166654935634243584,D) All of the above
2024-02-24 08:07:56,https://www.linkedin.com/feed/update/urn:li:groupPost:6744146-7165633191515414529,SELECT
2024-02-24 08:07:44,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7166003238893293568, Python
2024-02-22 16:53:07,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7166027952747397121,📈 DAX
2024-02-22 16:52:42,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7166432579712237569,R
2024-02-22 16:52:29,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7166306137665925120, 📈 DAX
2024-02-22 16:51:39,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7166311037091225600,Bar Charts
2024-02-22 16:50:50,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7166447246639591425,Artificial Intelligence
2024-02-22 16:50:02,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7166051020509200385,Line chart
2024-02-21 10:28:31,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7165573077572042752,Pie Charts
2024-02-21 10:21:45,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7165635901967085568,Power BI
2024-02-21 10:21:15,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7165960465196433408,COUNT()
2024-02-21 10:21:04,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7165677154578513920,CALCULATE
2024-02-21 04:55:12,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7165591282327699457,.pbix
2024-02-20 07:46:12,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7165569067859206144,Structured
2024-02-19 22:15:17,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7165175996147519490,Power BI 
2024-02-19 22:14:53,https://www.linkedin.com/feed/update/urn:li:groupPost:6744146-7165268037200142336,Structured
2024-02-19 22:14:29,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7165383533576765440,No
2024-02-19 22:14:10,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7165302620557975552,B) Charts
2024-02-19 22:13:25,https://www.linkedin.com/feed/update/urn:li:groupPost:143130-7165406102132658176,2
2024-02-18 21:39:53,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7164869617268473856,.pbix
2024-02-12 18:01:44,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7162704269727543297,DAX
2024-02-12 18:00:54,https://www.linkedin.com/feed/update/urn:li:groupPost:6610234-7162818602218274816,DATETIME
2024-02-12 17:03:57,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7162708307676151809,d) Data transformation
2024-02-12 08:56:45,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7162672234317111296,b) Query Editor
2024-02-12 08:54:31,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7162630160398049281,Delete 
2024-02-09 15:20:28,https://www.linkedin.com/feed/update/urn:li:groupPost:8256390-7161593157804134401,d) Line chart
